"","date","is_from_me"
"193","2018-12-16 08:23:37 UTC",0
"194","2018-12-16 08:23:46 UTC",0
"195","2018-12-16 08:24:06 UTC",1
"196","2018-12-16 08:25:13 UTC",1
"197","2018-12-16 08:26:50 UTC",1
"198","2018-12-16 08:41:01 UTC",0
"199","2018-12-16 08:41:07 UTC",0
"200","2018-12-16 08:42:38 UTC",1
"201","2018-12-16 08:44:37 UTC",1
"202","2018-12-16 08:55:51 UTC",0
"203","2018-12-16 08:56:19 UTC",1
"204","2018-12-16 15:55:41 UTC",1
"205","2018-12-18 01:56:59 UTC",0
"206","2018-12-18 02:05:31 UTC",0
"207","2018-12-18 02:06:15 UTC",1
"208","2018-12-18 02:20:38 UTC",0
"209","2018-12-18 02:21:14 UTC",1
"210","2018-12-18 02:23:00 UTC",0
"211","2018-12-18 02:23:30 UTC",1
"212","2018-12-18 02:24:22 UTC",1
"213","2018-12-18 02:30:19 UTC",1
"214","2018-12-18 05:10:24 UTC",0
"215","2018-12-18 05:11:14 UTC",1
"216","2018-12-18 05:14:35 UTC",1
"217","2018-12-18 05:20:10 UTC",0
"218","2018-12-18 05:20:12 UTC",0
"219","2018-12-18 05:20:24 UTC",0
"220","2018-12-18 05:20:44 UTC",0
"221","2018-12-18 05:21:02 UTC",1
"222","2018-12-18 05:21:48 UTC",1
"223","2018-12-18 05:22:22 UTC",0
"224","2018-12-18 05:23:19 UTC",1
"225","2018-12-18 05:57:06 UTC",0
"226","2018-12-18 05:57:12 UTC",0
"227","2018-12-18 05:57:17 UTC",0
"228","2018-12-18 05:57:22 UTC",0
"229","2018-12-18 05:58:13 UTC",1
"230","2018-12-18 06:11:55 UTC",0
"231","2018-12-18 06:12:47 UTC",1
"232","2018-12-18 06:14:56 UTC",0
"233","2018-12-18 06:19:27 UTC",1
"234","2018-12-18 06:20:45 UTC",0
"235","2018-12-18 06:23:09 UTC",1
"236","2018-12-18 06:25:05 UTC",1
"237","2018-12-18 06:27:31 UTC",0
"238","2018-12-18 06:28:02 UTC",1
"239","2018-12-18 06:30:37 UTC",0
"240","2018-12-18 06:31:43 UTC",1
"241","2018-12-18 06:32:19 UTC",1
"242","2018-12-18 06:32:22 UTC",1
"243","2018-12-18 06:34:46 UTC",1
"244","2018-12-18 06:46:40 UTC",0
"245","2018-12-18 06:47:46 UTC",1
"246","2018-12-18 06:49:04 UTC",0
"247","2018-12-18 06:49:10 UTC",0
"248","2018-12-18 06:49:19 UTC",0
"249","2018-12-18 06:49:26 UTC",0
"250","2018-12-18 06:49:55 UTC",1
"251","2018-12-18 06:50:11 UTC",1
"252","2018-12-18 06:50:54 UTC",1
"253","2018-12-18 06:52:08 UTC",0
"254","2018-12-18 06:52:55 UTC",1
"255","2018-12-18 06:55:49 UTC",0
"256","2018-12-18 06:57:07 UTC",1
"257","2018-12-18 06:57:34 UTC",1
"258","2018-12-18 07:02:55 UTC",0
"259","2018-12-18 07:03:52 UTC",1
"260","2018-12-18 07:14:35 UTC",0
"261","2018-12-18 07:15:55 UTC",1
"262","2018-12-18 07:36:41 UTC",0
"263","2018-12-18 16:46:21 UTC",1
"264","2018-12-18 19:58:57 UTC",1
"265","2018-12-18 20:31:43 UTC",0
"266","2018-12-18 20:32:20 UTC",1
"267","2018-12-18 20:36:29 UTC",0
"268","2018-12-18 20:38:08 UTC",1
"269","2018-12-18 21:45:46 UTC",0
"270","2018-12-18 21:48:13 UTC",1
"271","2018-12-18 21:49:05 UTC",1
"272","2018-12-18 21:49:33 UTC",0
"273","2018-12-18 21:49:43 UTC",0
"274","2018-12-18 21:50:15 UTC",0
"275","2018-12-18 21:50:39 UTC",1
"276","2018-12-18 21:57:42 UTC",1
"277","2018-12-18 22:06:58 UTC",0
"278","2018-12-18 22:07:55 UTC",1
"279","2018-12-18 22:16:27 UTC",0
"280","2018-12-18 22:17:23 UTC",1
"281","2018-12-18 22:17:56 UTC",1
"282","2018-12-18 22:50:46 UTC",1
"283","2018-12-18 22:50:47 UTC",0
"284","2018-12-18 22:51:33 UTC",1
"285","2018-12-18 22:53:02 UTC",1
"286","2018-12-18 23:09:33 UTC",1
"287","2018-12-18 23:10:09 UTC",0
"288","2018-12-18 23:10:37 UTC",1
"289","2018-12-18 23:10:42 UTC",1
"290","2018-12-18 23:10:56 UTC",0
"291","2018-12-18 23:12:10 UTC",0
"292","2018-12-18 23:13:52 UTC",1
"293","2018-12-18 23:16:23 UTC",0
"294","2018-12-18 23:18:27 UTC",1
"295","2018-12-18 23:48:30 UTC",1
"296","2018-12-18 23:59:35 UTC",1
"297","2018-12-19 00:39:06 UTC",1
"298","2018-12-19 00:42:50 UTC",0
"299","2018-12-19 00:42:54 UTC",0
"300","2018-12-19 00:43:03 UTC",0
"301","2018-12-19 00:43:08 UTC",0
"302","2018-12-19 00:44:56 UTC",1
"303","2018-12-19 00:45:03 UTC",1
"304","2018-12-19 00:55:26 UTC",0
"305","2018-12-19 00:55:52 UTC",1
"306","2018-12-19 00:57:11 UTC",0
"307","2018-12-19 00:59:04 UTC",1
"308","2018-12-19 01:05:52 UTC",0
"309","2018-12-19 01:06:06 UTC",1
"310","2018-12-19 01:08:33 UTC",0
"311","2018-12-19 01:08:42 UTC",0
"312","2018-12-19 01:08:52 UTC",1
"313","2018-12-19 01:29:16 UTC",1
"314","2018-12-19 01:29:18 UTC",0
"315","2018-12-19 01:29:40 UTC",1
"316","2018-12-19 02:01:17 UTC",1
"317","2018-12-19 02:02:27 UTC",0
"318","2018-12-19 02:03:08 UTC",1
"319","2018-12-19 02:09:12 UTC",0
"320","2018-12-19 02:09:22 UTC",1
"321","2018-12-19 02:18:01 UTC",0
"322","2018-12-19 02:18:04 UTC",0
"323","2018-12-19 02:18:52 UTC",1
"324","2018-12-19 02:19:08 UTC",1
"325","2018-12-19 02:24:24 UTC",0
"326","2018-12-19 02:25:04 UTC",1
"327","2018-12-19 03:54:11 UTC",1
"328","2018-12-19 04:17:58 UTC",0
"329","2018-12-19 04:18:24 UTC",1
"330","2018-12-19 04:18:36 UTC",1
"331","2018-12-19 04:34:04 UTC",0
"332","2018-12-19 04:34:22 UTC",1
"333","2018-12-19 04:46:35 UTC",1
"334","2018-12-19 05:15:37 UTC",1
"335","2018-12-19 05:34:52 UTC",0
"336","2018-12-19 05:35:49 UTC",1
"337","2018-12-19 05:36:35 UTC",1
"338","2018-12-19 06:07:10 UTC",0
"339","2018-12-19 06:07:29 UTC",1
"340","2018-12-19 06:08:55 UTC",1
"341","2018-12-19 06:09:41 UTC",0
"342","2018-12-19 06:09:42 UTC",0
"343","2018-12-19 06:10:19 UTC",1
"344","2018-12-19 06:10:43 UTC",1
"345","2018-12-19 06:22:50 UTC",0
"346","2018-12-19 06:23:04 UTC",1
"347","2018-12-19 06:23:48 UTC",0
"348","2018-12-19 06:24:37 UTC",1
"349","2018-12-19 06:28:35 UTC",0
"350","2018-12-19 06:28:39 UTC",0
"351","2018-12-19 06:29:31 UTC",1
"352","2018-12-19 06:29:51 UTC",1
"353","2018-12-19 06:30:02 UTC",0
