"","date","is_from_me"
"268",2018-04-22 22:03:49,"0"
"269",2018-04-22 22:04:20,"0"
"270",2018-04-22 22:04:38,"0"
"271",2018-04-22 22:05:45,"1"
"272",2018-04-22 22:05:49,"1"
"273",2018-04-22 22:05:58,"1"
"274",2018-04-22 22:06:07,"0"
"275",2018-04-22 22:06:29,"0"
"276",2018-04-22 22:07:17,"1"
"277",2018-04-22 22:08:33,"0"
"278",2018-04-22 22:08:49,"1"
"279",2018-04-22 22:09:12,"1"
"280",2018-04-22 22:09:16,"1"
"281",2018-04-22 22:09:31,"0"
"282",2018-04-22 22:10:20,"1"
"283",2018-04-22 22:10:57,"0"
"284",2018-04-22 22:11:07,"0"
"285",2018-04-22 22:11:31,"1"
"286",2018-04-22 22:11:56,"1"
"287",2018-04-22 22:15:28,"1"
"288",2018-04-22 22:15:32,"1"
"289",2018-04-22 22:19:44,"0"
"290",2018-04-22 22:19:51,"0"
"291",2018-04-22 22:20:08,"0"
"292",2018-04-22 22:20:16,"1"
"293",2018-04-22 22:20:35,"1"
"294",2018-04-22 22:20:33,"0"
"295",2018-04-22 22:20:35,"0"
"296",2018-04-22 22:21:16,"1"
"297",2018-04-22 22:21:26,"0"
"298",2018-04-22 22:21:44,"1"
"299",2018-04-22 22:22:31,"1"
"300",2018-04-22 22:23:09,"0"
"301",2018-04-22 22:23:48,"1"
"302",2018-04-22 22:24:09,"1"
"303",2018-04-22 22:24:35,"0"
"304",2018-04-22 22:24:46,"0"
"305",2018-04-22 22:26:45,"1"
"306",2018-04-22 22:26:50,"1"
"307",2018-04-22 22:27:00,"0"
"308",2018-04-22 22:29:24,"1"
"309",2018-04-22 22:31:21,"0"
"310",2018-04-22 22:31:21,"0"
"311",2018-04-22 22:31:26,"0"
"312",2018-04-22 22:32:43,"1"
"313",2018-04-22 22:33:00,"0"
"314",2018-04-22 22:34:46,"1"
"315",2018-04-22 22:35:29,"0"
"316",2018-04-22 22:37:21,"0"
"317",2018-04-22 22:37:21,"0"
"318",2018-04-22 22:38:07,"1"
"319",2018-04-22 22:38:38,"1"
"320",2018-04-22 22:39:20,"0"
"321",2018-04-22 22:39:30,"0"
"322",2018-04-22 22:40:38,"1"
"323",2018-04-22 22:41:56,"1"
"324",2018-04-22 22:42:11,"1"
"325",2018-04-22 22:43:33,"0"
"326",2018-04-22 22:43:42,"0"
"327",2018-04-22 22:43:52,"0"
"328",2018-04-22 22:46:00,"1"
"329",2018-04-22 22:46:51,"0"
"330",2018-04-22 22:47:07,"1"
"331",2018-04-22 22:47:23,"1"
"332",2018-04-22 22:47:36,"0"
"333",2018-04-22 22:47:56,"0"
"334",2018-04-22 22:48:13,"0"
"335",2018-04-22 22:48:34,"1"
"336",2018-04-22 22:49:27,"1"
"337",2018-04-22 22:49:32,"1"
"338",2018-04-22 22:50:09,"1"
"339",2018-04-22 22:52:11,"0"
"340",2018-04-22 22:52:34,"0"
"341",2018-04-22 22:53:11,"1"
"342",2018-04-22 22:54:55,"1"
"343",2018-04-22 23:03:05,"0"
"344",2018-04-22 23:03:12,"0"
"345",2018-04-22 23:03:29,"0"
"346",2018-04-22 23:03:30,"0"
"347",2018-04-22 23:03:54,"1"
"348",2018-04-22 23:04:20,"1"
"349",2018-04-22 23:04:27,"1"
"350",2018-04-22 23:05:16,"0"
"351",2018-04-22 23:05:34,"1"
"352",2018-04-22 23:06:04,"1"
"353",2018-04-22 23:07:50,"0"
"354",2018-04-22 23:08:12,"0"
"355",2018-04-22 23:08:46,"1"
"356",2018-04-22 23:09:04,"1"
"357",2018-04-22 23:11:56,"0"
"358",2018-04-22 23:12:10,"0"
"359",2018-04-22 23:12:51,"0"
"360",2018-04-22 23:13:47,"0"
"361",2018-04-22 23:13:48,"0"
"362",2018-04-22 23:14:06,"1"
"363",2018-04-22 23:15:27,"1"
"364",2018-04-22 23:15:31,"1"
"365",2018-04-22 23:16:06,"0"
"366",2018-04-22 23:16:06,"0"
"367",2018-04-22 23:17:13,"1"
"368",2018-04-22 23:17:39,"0"
"369",2018-04-22 23:17:53,"0"
"370",2018-04-22 23:18:32,"1"
"371",2018-04-22 23:18:44,"1"
"372",2018-04-22 23:20:19,"1"
"373",2018-04-22 23:21:23,"0"
"374",2018-04-22 23:22:24,"1"
"375",2018-04-22 23:23:46,"0"
"376",2018-04-22 23:24:05,"0"
"377",2018-04-22 23:24:59,"1"
"378",2018-04-22 23:26:06,"1"
"379",2018-04-22 23:26:07,"0"
"380",2018-04-22 23:26:11,"0"
"381",2018-04-22 23:26:26,"1"
"382",2018-04-22 23:26:25,"1"
"383",2018-04-22 23:26:25,"0"
"384",2018-04-22 23:26:34,"1"
"385",2018-04-22 23:26:54,"0"
"386",2018-04-22 23:27:15,"0"
"387",2018-04-22 23:27:20,"0"
"388",2018-04-22 23:27:43,"1"
"389",2018-04-22 23:28:10,"1"
"390",2018-04-22 23:28:11,"0"
"391",2018-04-22 23:28:16,"0"
"392",2018-04-22 23:28:21,"0"
"393",2018-04-22 23:29:38,"1"
"394",2018-04-22 23:29:57,"1"
"395",2018-04-22 23:31:06,"1"
"396",2018-04-22 23:32:01,"1"
"397",2018-04-22 23:33:33,"1"
"398",2018-04-22 23:33:37,"0"
"399",2018-04-22 23:34:15,"1"
"400",2018-04-22 23:34:14,"0"
"401",2018-04-22 23:35:08,"1"
"402",2018-04-22 23:35:10,"1"
"403",2018-04-22 23:36:24,"0"
"404",2018-04-22 23:36:53,"1"
"405",2018-04-23 14:52:19,"1"
"406",2018-04-23 14:52:47,"1"
"407",2018-04-23 14:52:52,"1"
"408",2018-04-23 15:13:11,"0"
"409",2018-04-23 15:13:58,"1"
"410",2018-04-23 15:16:30,"0"
"411",2018-04-23 15:16:31,"0"
"412",2018-04-23 15:19:09,"1"
"413",2018-04-23 15:24:35,"0"
"414",2018-04-23 15:24:40,"0"
"415",2018-04-23 15:25:27,"1"
"416",2018-04-23 15:25:34,"1"
"417",2018-04-23 15:41:14,"0"
"418",2018-04-23 16:04:01,"1"
"419",2018-04-23 16:31:53,"0"
"420",2018-04-23 16:33:03,"0"
"421",2018-04-23 17:33:26,"1"
"422",2018-04-23 17:33:33,"1"
"423",2018-04-23 17:33:44,"1"
"424",2018-04-23 17:34:54,"1"
"425",2018-04-23 17:35:00,"1"
"426",2018-04-23 18:35:01,"0"
"427",2018-04-23 19:24:51,"1"
"428",2018-04-23 19:25:04,"1"
"429",2018-04-23 19:26:17,"1"
"430",2018-04-23 19:28:16,"0"
"431",2018-04-23 19:28:28,"0"
"432",2018-04-23 19:29:06,"1"
"433",2018-04-23 19:29:21,"1"
"434",2018-04-23 19:32:03,"0"
"435",2018-04-23 19:32:26,"1"
"436",2018-04-23 19:33:16,"1"
"437",2018-04-23 19:37:55,"0"
"438",2018-04-23 19:39:14,"1"
"439",2018-04-23 19:43:26,"0"
"440",2018-04-23 19:43:28,"0"
"441",2018-04-23 19:43:30,"0"
"442",2018-04-23 19:47:54,"1"
"443",2018-04-23 19:48:15,"1"
"444",2018-04-23 19:56:03,"0"
"445",2018-04-23 19:56:03,"0"
"446",2018-04-23 19:58:45,"1"
"447",2018-04-23 19:58:51,"1"
"448",2018-04-23 19:59:24,"0"
"449",2018-04-23 22:12:35,"1"
"450",2018-04-23 22:22:17,"0"
"451",2018-04-23 22:22:26,"0"
"452",2018-04-23 22:25:42,"1"
"453",2018-04-23 22:32:17,"0"
"454",2018-04-23 22:32:23,"0"
"455",2018-04-23 22:34:27,"1"
"456",2018-04-23 22:41:21,"0"
"457",2018-04-23 22:42:26,"1"
"458",2018-04-26 13:28:01,"1"
"459",2018-04-26 13:31:19,"0"
"460",2018-04-26 13:34:38,"0"
"461",2018-04-26 13:35:10,"1"
"462",2018-04-26 13:35:20,"0"
"463",2018-04-26 13:36:18,"1"
"464",2018-04-26 13:40:21,"0"
"465",2018-04-26 13:46:48,"1"
"466",2018-04-26 13:52:13,"0"
"467",2018-04-26 13:55:11,"1"
"468",2018-04-26 14:01:56,"0"
"469",2018-04-26 14:03:39,"1"
"470",2018-04-26 14:14:35,"0"
"471",2018-04-26 14:14:43,"0"
"472",2018-04-26 14:14:55,"0"
"473",2018-04-26 14:15:02,"0"
"474",2018-04-26 14:16:44,"1"
"475",2018-04-26 14:17:18,"1"
"476",2018-04-26 14:17:21,"0"
"477",2018-04-26 14:17:25,"0"
"478",2018-04-26 14:18:20,"1"
